fichier	dossier	loc	utt	token	age	annee	FUT	CONJ	SUBJ	INF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	ya+++qu	v+inf	dit+qu	plus+qu	proobj
../tcof/chi-trans-metaok/Cloe1_Tsc_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	4	477	4;05.30	4	1	0	0	2	2	28	1	0	2	0	0	1	0	0	11	0	0	0	
../tcof/chi-trans-metaok/constance1_sch.tei_corpo2_tto.cha 	 TRANS 	 CHI 	131	1982	3;01.06	3	5	9	0	4	12	106	3	0	4	0	1	2	34	0	30	0	1	0	
../tcof/chi-trans-metaok/constant1_pap.tei_corpo2_tto.cha 	 TRANS 	 CHI 	21	975	4;04.24	4	0	5	0	1	0	27	1	0	0	0	2	3	8	0	8	0	0	0	
../tcof/chi-trans-metaok/Coralie1_Arn_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	42	2741	4;03.17	4	6	4	0	54	11	142	11	0	7	3	6	7	11	0	15	2	5	0	
../tcof/chi-trans-metaok/Corentin1_Ber_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	9	1696	4;01.05	4	3	2	0	13	9	46	1	0	11	1	5	6	7	0	17	0	0	0	
../tcof/chi-trans-metaok/corentin1_boi.tei_corpo2_tto.cha 	 TRANS 	 CHI 	47	2942	4;08.11	4	8	9	0	47	32	239	25	0	13	9	16	20	16	0	22	3	1	0	
../tcof/chi-trans-metaok/Dania1_Col_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	8	1136	6;	6	0	0	0	20	3	144	3	0	5	9	6	2	2	0	9	0	0	0	
../tcof/chi-trans-metaok/elea1_cur.tei_corpo2_tto.cha 	 TRANS 	 CHI 	0	1005	4;03.17	4	4	3	0	20	2	101	0	0	7	4	1	8	1	0	4	4	0	0	
../tcof/chi-trans-metaok/Elif1_Ber_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	7	1081	4;08.11	4	1	2	0	13	9	56	6	0	4	1	1	3	8	0	18	3	2	0	
../tcof/chi-trans-metaok/Eliott1_Chi_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	10	594	5;01.05	5	1	4	0	13	2	41	1	0	2	1	2	0	3	0	10	1	0	0	
../tcof/chi-trans-metaok/Elise1_Hel_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	3	925	5;08.11	5	10	10	0	9	16	75	4	0	3	0	4	8	8	0	10	1	5	0	
../tcof/chi-trans-metaok/Elliot1_Dem_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	17	1463	4;04.24	4	1	2	0	2	16	64	16	0	11	1	3	9	10	0	23	3	1	0	
../tcof/chi-trans-metaok/emilie1_rig.tei_corpo2_tto.cha 	 TRANS 	 CHI 	1	440	5;08.11	5	0	2	0	0	1	35	0	0	3	2	1	2	2	0	8	0	0	0	
../tcof/chi-trans-metaok/Emy1_Sam_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	4	783	3;02.12	3	0	0	0	2	1	52	1	0	6	0	5	0	1	0	4	0	0	0	
../tcof/chi-trans-metaok/Engi1_Hur_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	2	273	4;03.17	4	0	1	0	0	0	5	0	0	0	0	0	0	1	0	1	0	0	0	
../tcof/chi-trans-metaok/Enzo1_Nov_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	29	884	3;02.12	3	0	0	0	6	17	55	9	0	0	0	2	5	3	0	20	0	0	0	
../tcof/chi-trans-metaok/Erwan1_Fer_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	3	698	6;	6	2	0	0	3	2	39	0	0	1	0	1	0	2	0	2	1	3	0	
../tcof/chi-trans-metaok/Ester1_Zeh_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	1	1431	5;	5	2	2	0	23	13	113	1	0	12	0	2	9	11	0	14	6	0	0	
../tcof/chi-trans-metaok/Eva1_Goe_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	10	1161	6;	6	0	0	0	36	14	89	6	0	2	5	2	10	1	0	2	2	0	0	
../tcof/chi-trans-metaok/Eva1_Mat_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	22	875	2;09.17	2	5	4	0	4	6	42	1	0	1	4	4	13	2	0	6	0	0	0	
../tcof/chi-trans-metaok/fantine1_mon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	2	374	2;10.23	2	0	0	0	0	4	25	5	0	0	0	1	1	0	0	1	0	0	0	
../tcof/chi-trans-metaok/florian1_sai.tei_corpo2_tto.cha 	 TRANS 	 CHI 	5	653	5;03.17	5	2	0	0	5	1	37	2	0	1	0	2	3	3	0	3	1	1	0	
../tcof/chi-trans-metaok/gabriel1_rez.tei_corpo2_tto.cha 	 TRANS 	 CHI 	7	711	4;01.05	4	1	0	0	15	6	65	9	0	3	1	0	2	3	0	2	1	0	0	
../tcof/chi-trans-metaok/gaelle1_bou.tei_corpo2_tto.cha 	 TRANS 	 CHI 	37	525	4;09.17	4	2	1	0	0	1	60	1	0	1	7	0	1	0	0	0	0	0	0	
../tcof/chi-trans-metaok/gaetan1_bau.tei_corpo2_tto.cha 	 TRANS 	 CHI 	20	610	5;02.12	5	0	1	0	0	4	29	0	0	0	0	1	1	1	0	1	0	0	0	
../tcof/chi-trans-metaok/guillaume1_pol.tei_corpo2_tto.cha 	 TRANS 	 CHI 	22	400	3;	3	0	0	0	0	1	26	4	0	0	0	1	1	1	0	11	0	0	0	
../tcof/chi-trans-metaok/heloise1_gue.tei_corpo2_tto.cha 	 TRANS 	 CHI 	30	544	2;09.17	2	0	3	0	2	1	32	9	0	6	0	1	3	15	0	2	0	0	0	
